date,tx_close,tx_open,tx_high,tx_low,txf_close,volume,vix,event_flag
2021-01-04,18000.0,18000.0,18180.0,17820.0,18000.0,100000,25.0,0
2021-01-05,18001.579778830965,18001.579778830965,18181.595576619275,17821.563981042655,18001.579778830965,100000,25.0,0
2021-01-06,18003.159557661926,18003.159557661926,18183.191153238546,17823.127962085306,18003.159557661926,100000,25.0,0
2021-01-07,18004.73933649289,18004.73933649289,18184.78672985782,17824.69194312796,18004.73933649289,100000,25.0,0
2021-01-08,18006.319115323855,18006.319115323855,18186.38230647709,17826.255924170615,18006.319115323855,100000,25.0,0
2021-01-11,18007.89889415482,18007.89889415482,18187.97788309637,17827.81990521327,18007.89889415482,100000,25.0,0
2021-01-12,18009.47867298578,18009.47867298578,18189.57345971564,17829.383886255924,18009.47867298578,100000,25.0,0
2021-01-13,18011.058451816745,18011.058451816745,18191.16903633491,17830.94786729858,18011.058451816745,100000,25.0,0
2021-01-14,18012.63823064771,18012.63823064771,18192.764612954183,17832.511848341233,18012.63823064771,100000,25.0,0
2021-01-15,18014.218009478675,18014.218009478675,18194.36018957346,17834.075829383888,18014.218009478675,100000,25.0,0
